source,target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,12
0,13
0,18
0,20
0,21
0,28
0,29
0,30
0,31
0,32
0,34
0,35
0,37
0,40
0,41
0,42
0,44
0,45
0,47
0,49
0,50
0,53
0,54
0,55
0,59
0,65
0,67
0,74
0,75
0,76
0,79
0,84
0,87
0,91
0,96
0,97
0,107
0,108
0,117
0,118
0,119
0,120
0,129
0,130
0,131
0,132
0,140
0,141
0,145
0,152
0,167
0,172
0,179
0,181
0,192
0,195
0,203
0,227
0,240
0,242
0,253
0,265
0,279
0,289
0,290
0,296
0,302
0,309
0,324
0,325
0,335
0,383
0,385
0,388
0,393
0,396
0,397
0,407
0,414
0,429
0,449
0,457
0,458
0,461
0,476
0,501
0,505
0,525
0,551
0,556
0,576
0,600
0,639
0,643
0,712
0,726
0,737
0,750
0,756
0,775
0,785
0,835
0,844
0,861
0,876
0,885
0,886
0,887
0,890
0,907
0,909
0,932
0,937
0,940
0,1003
0,1006
0,1024
0,1034
0,1060
0,1072
0,1076
0,1096
0,1142
0,1160
0,1183
0,1194
0,1203
0,1215
0,1220
0,1223
0,1243
0,1247
0,1253
0,1266
0,1286
0,1294
0,1379
0,1384
0,1453
0,1458
0,1487
0,1501
0,1510
0,1539
0,1549
0,1562
0,1589
0,1632
0,1653
0,1667
0,1691
0,1695
0,1716
0,1749
0,1760
0,1776
0,1807
0,1813
0,1821
0,1833
0,1924
0,1933
0,1941
0,1960
0,1964
0,1997
0,2008
0,2029
0,2033
0,2039
0,2056
0,2063
0,2087
0,2104
0,2132
0,2188
0,2263
0,2271
0,2290
0,2301
0,2321
0,2405
0,2443
0,2472
0,2506
0,2519
0,2536
0,2555
0,2617
0,2632
0,2696
0,2797
0,2825
0,2899
0,2911
0,2922
0,3010
0,3055
0,3070
0,3082
0,3092
0,3120
0,3208
0,3248
0,3282
0,3347
0,3356
0,3418
0,3419
0,3446
0,3454
0,3473
0,3519
0,3542
0,3595
0,3612
0,3644
0,3645
0,3660
0,3664
0,3687
0,3707
0,3753
0,3759
0,3774
0,3812
0,3896
0,3943
0,4000
0,4015
0,4035
1,5
1,7
1,16
1,38
1,62
1,68
1,79
1,93
1,101
1,103
1,141
1,178
1,202
1,206
1,211
1,251
1,260
1,297
1,311
1,326
1,337
1,369
1,388
1,394
1,569
1,669
1,713
1,722
1,733
1,799
1,811
1,836
1,864
1,893
1,919
1,1029
1,1053
1,1059
1,1081
1,1117
1,1165
1,1207
1,1262
1,1294
1,1370
1,1371
1,1394
1,1565
1,1586
1,1602
1,1649
1,1652
1,1685
1,1692
1,1693
1,1712
1,1716
1,1916
1,1974
1,1988
1,2091
1,2291
1,2568
1,2607
1,2729
1,2819
1,2909
1,3249
1,3308
1,3732
1,3767
1,3845
1,3927
1,4021
2,6
2,9
2,12
2,167
2,210
2,227
2,229
2,390
2,410
2,495
2,514
2,563
2,568
2,597
2,677
2,682
2,715
2,730
2,868
2,879
2,1060
2,1244
2,1351
2,1403
2,1463
2,1517
2,1638
2,1694
2,1702
2,2318
2,2356
2,2444
2,2631
2,2780
2,2900
2,3228
2,3292
2,3450
2,3604
2,3900
3,5
3,6
3,7
3,8
3,10
3,13
3,15
3,16
3,29
3,46
3,53
3,56
3,58
3,62
3,64
3,99
3,116
3,135
3,188
3,191
3,201
3,272
3,299
3,300
3,301
3,306
3,310
3,379
3,417
3,428
3,488
3,496
3,550
3,561
3,583
3,619
3,629
3,647
3,705
3,822
3,845
3,853
3,991
3,996
3,1004
3,1083
3,1181
3,1268
3,1306
3,1334
3,1345
3,1361
3,1422
3,1453
3,1472
3,1520
3,1563
3,1618
3,2184
3,2342
3,2421
3,2518
3,2618
3,2652
3,2833
3,2846
3,2855
3,2955
3,3042
3,3373
3,3421
3,3468
3,3573
3,3946
3,4014
4,5
4,9
4,63
4,96
4,122
4,139
4,149
4,245
4,290
4,331
4,431
4,436
4,445
4,534
4,565
4,607
4,624
4,739
4,880
4,899
4,963
4,1035
4,1128
4,1464
4,1513
4,1798
4,1913
4,2156
4,2436
4,2579
4,2634
4,2739
4,3250
4,3416
4,3761
4,3891
5,6
5,7
5,11
5,13
5,14
5,17
5,19
5,20
5,26
5,27
5,39
5,41
5,55
5,62
5,71
5,72
5,74
5,79
5,96
5,125
5,127
5,146
5,153
5,187
5,190
5,194
5,202
5,236
5,242
5,276
5,279
5,286
5,291
5,297
5,304
5,313
5,317
5,319
5,329
5,334
5,347
5,357
5,367
5,372
5,385
5,392
5,400
5,409
5,437
5,438
5,441
5,442
5,452
5,464
5,493
5,539
5,572
5,600
5,615
5,643
5,650
5,653
5,700
5,714
5,721
5,731
5,733
5,736
5,749
5,763
5,792
5,800
5,815
5,840
5,878
5,932
5,963
5,982
5,1000
5,1001
5,1024
5,1027
5,1046
5,1194
5,1199
5,1232
5,1239
5,1288
5,1334
5,1338
5,1379
5,1404
5,1412
5,1417
5,1428
5,1456
5,1584
5,1642
5,1660
5,1698
5,1714
5,1721
5,1722
5,1752
5,1761
5,1782
5,1788
5,1823
5,1860
5,1899
5,1927
5,1930
5,1952
5,1984
5,1985
5,1996
5,2084
5,2094
5,2240
5,2336
5,2364
5,2407
5,2481
5,2562
5,2568
5,2597
5,2656
5,2812
5,2833
5,2922
5,2952
5,2978
5,2999
5,3085
5,3121
5,3220
5,3280
5,3346
5,3370
5,3378
5,3386
5,3423
5,3450
5,3506
5,3561
5,3575
5,3623
5,3624
5,3635
5,3641
5,3857
5,3863
5,3958
5,3962
5,3983
6,8
6,9
6,11
6,14
6,15
6,16
6,17
6,18
6,19
6,27
6,36
6,37
6,39
6,40
6,48
6,70
6,73
6,76
6,93
6,112
6,144
6,157
6,166
6,190
6,205
6,208
6,223
6,230
6,247
6,251
6,261
6,287
6,319
6,366
6,378
6,382
6,426
6,433
6,459
6,477
6,543
6,575
6,577
6,642
6,646
6,652
6,656
6,664
6,714
6,717
6,741
6,743
6,780
6,783
6,826
6,857
6,940
6,944
6,1009
6,1016
6,1044
6,1048
6,1050
6,1166
6,1167
6,1170
6,1186
6,1203
6,1256
6,1270
6,1308
6,1365
6,1387
6,1512
6,1513
6,1542
6,1548
6,1551
6,1552
6,1556
6,1586
6,1608
6,1676
6,1689
6,1768
6,1792
6,1911
6,1978
6,2031
6,2080
6,2101
6,2171
6,2179
6,2346
6,2361
6,2396
6,2447
6,2479
6,2481
6,2522
6,2534
6,2593
6,2667
6,2858
6,2862
6,2929
6,2945
6,3021
6,3078
6,3110
6,3299
6,3316
6,3399
6,3432
6,3450
6,3472
6,3507
6,3523
6,3722
6,4011
6,4013
7,8
7,10
7,12
7,13
7,14
7,18
7,20
7,23
7,24
7,26
7,27
7,32
7,34
7,35
7,39
7,40
7,41
7,48
7,51
7,56
7,67
7,71
7,75
7,80
7,82
7,104
7,105
7,111
7,150
7,154
7,174
7,184
7,194
7,196
7,200
7,203
7,207
7,226
7,236
7,244
7,256
7,269
7,281
