source,target
0,20
0,125
0,270
0,291
0,298
0,369
0,395
0,428
0,482
0,599
0,685
0,883
0,1027
0,1134
0,1169
0,1175
0,1392
0,1808
0,1837
0,1962
0,2113
0,2121
0,2154
0,2222
0,2331
0,2427
0,2517
0,2544
0,2564
0,2569
0,2588
0,2736
0,2749
0,2756
0,2925
0,2991
0,3208
0,3212
0,3314
0,3407
0,3518
0,3713
0,3740
0,3802
0,3845
0,4034
1,35
1,65
1,116
1,314
1,319
1,323
1,327
1,415
1,461
1,694
1,901
1,973
1,991
1,1066
1,1192
1,1209
1,1464
1,1566
1,1588
1,1679
1,1843
1,1931
1,2493
1,2598
1,2699
1,2743
1,2878
1,2902
1,3138
1,3143
1,3179
1,3202
1,3266
1,3319
1,3355
1,3382
1,3521
1,3554
1,3619
1,3676
1,3713
1,3821
1,3946
1,3981
1,3986
2,68
2,147
2,236
2,298
2,326
2,423
2,631
2,766
2,805
2,911
2,1005
2,1073
2,1093
2,1165
2,1261
2,1401
2,1639
2,1705
2,1733
2,1737
2,2317
2,2359
2,2374
2,2546
2,2600
2,2695
2,2698
2,2765
2,2842
2,2890
2,3206
2,3372
2,3559
2,3627
2,3825
2,3856
3,76
3,124
3,244
3,459
3,586
3,605
3,622
3,899
3,962
3,967
3,1107
3,1174
3,1200
3,1262
3,1392
3,1423
3,1563
3,1586
3,1703
3,1788
3,1796
3,1890
3,1909
3,2005
3,2063
3,2167
3,2290
3,2296
3,2366
3,2531
3,2576
3,2700
3,2721
3,2908
3,2955
3,3127
3,3225
3,3419
3,3444
3,3463
3,3467
3,3643
3,3700
3,3847
3,3891
4,591
4,664
4,835
4,877
4,886
4,940
4,974
4,1019
4,1104
4,1201
4,1456
4,1596
4,1668
4,1772
4,1913
4,2051
4,2158
4,2168
4,2229
4,2230
4,2237
4,2315
4,2360
4,2428
4,2535
4,2630
4,2794
4,2867
4,2895
4,2920
4,2993
4,3061
4,3100
4,3214
4,3223
4,3235
4,3413
4,3500
4,3535
4,3585
4,3598
4,3627
4,3674
4,3694
4,3806
4,3852
4,3948
4,3996
4,4003
4,4025
5,23
5,234
5,253
5,341
5,532
5,552
5,572
5,643
5,668
5,851
5,892
5,927
5,1040
5,1090
5,1097
5,1185
5,1236
5,1247
5,1302
5,1319
5,1343
5,1491
5,1521
5,1649
5,2003
5,2088
5,2110
5,2149
5,2230
5,2347
5,2441
5,2501
5,2603
5,2614
5,2667
5,2783
5,2790
5,2852
5,2864
5,2876
5,3044
5,3083
5,3123
5,3177
5,3289
5,3464
5,3506
5,3546
5,3617
5,3772
5,3800
5,3818
5,3828
5,4029
6,7
6,9
6,374
6,448
6,516
6,576
6,699
6,877
6,934
6,1018
6,1347
6,1818
6,1830
6,1839
6,1894
6,2082
6,2156
6,2232
6,2317
6,2389
6,2540
6,2604
6,2816
6,2858
6,2862
6,2895
6,3076
6,3259
6,3329
6,3369
6,3418
6,3481
6,3540
6,3593
6,3594
6,3670
6,3755
6,3921
6,3930
6,3963
6,3991
7,32
7,94
7,104
7,124
7,312
7,389
7,563
7,710
7,843
7,922
7,1013
7,1161
7,1328
7,1387
7,1496
7,1534
7,1538
7,1579
7,1820
7,1838
7,2045
7,2052
7,2241
7,2252
7,2314
7,2352
7,2460
7,2483
7,2527
7,2550
7,2763
7,2816
7,2838
7,2885
7,2945
7,3008
7,3092
7,3101
7,3168
7,3179
7,3245
7,3491
7,3540
7,3620
7,3695
7,3804
7,3806
7,3953
8,37
8,292
8,412
8,506
8,542
8,693
8,696
8,796
8,967
8,1043
8,1134
8,1240
8,1310
8,1420
8,1432
8,1453
8,1454
8,1542
8,1593
8,1683
8,1748
8,1825
8,1972
8,2412
8,2469
8,2505
8,2635
8,2660
8,2679
8,2810
8,2909
8,3014
8,3025
8,3117
8,3128
8,3292
8,3308
8,3502
8,3568
8,3659
8,3700
8,3773
8,3799
9,146
9,193
9,244
9,383
9,414
9,432
9,433
9,481
9,483
9,723
9,983
9,1009
9,1017
9,1076
9,1211
9,1423
9,1433
9,1525
